POS;POS_STD_DEV;POS_DIFF;WIDTH;WIDTH_STD_DEV
203,85;2,23;10;239,08;3,20
203,04;2,28;11;240,14;3,79
202,97;2,44;11;240,50;3,42
196,10;13,11;54;261,06;33,27
188,45;1,34;7;276,69;2,39
188,09;1,29;6;276,90;2,49
188,31;1,10;5;277,10;2,37
184,43;1,04;4;288,75;2,19
179,51;0,85;4;305,33;1,73
179,50;0,86;3;305,37;1,52
179,41;0,80;3;305,41;1,90
179,44;0,75;3;305,74;1,98
176,98;1,17;3;315,38;2,05
316,99;1,00;1;317,00;0,00
316,98;0,99;1;317,00;0,00
317,00;0,00;0;317,00;0,00
316,99;1,00;1;317,00;0,00
316,99;1,00;1;317,00;0,00
317,00;0,00;0;317,00;0,00
316,99;1,00;1;317,00;0,00
317,00;0,00;0;317,00;0,00
316,99;1,00;1;317,00;0,00
176,71;0,92;2;317,17;2,10
174,65;0,88;4;330,88;2,91
173,87;0,99;4;338,32;3,39
172,98;0,99;1;348,61;3,47
172,22;0,47;1;359,62;3,57
172,01;0,10;1;365,03;3,80
172,00;0,00;0;367,16;3,95
171,93;0,97;1;369,86;4,15
171,91;0,99;3;370,24;4,07
171,68;0,83;1;378,74;4,40
171,46;1,88;10;394,09;38,71
170,99;1,00;1;406,41;5,94
169,02;0,14;1;422,66;3,25
169,03;0,22;2;422,95;3,61
170,34;0,59;1;422,97;4,15
168,98;1,03;4;423,25;3,03
169,02;0,14;1;423,32;2,92
168,99;1,05;4;423,35;3,60
170,21;0,46;1;423,45;4,91
169,15;0,39;1;423,54;3,71
169,08;0,45;4;423,89;3,68
169,07;0,27;1;423,98;3,57
170,22;0,47;1;424,08;4,40
168,99;1,05;4;424,31;3,54
169,01;0,36;4;424,38;3,26
169,06;0,25;1;424,46;3,64
169,14;0,38;1;424,52;2,97
169,06;0,28;2;424,93;3,28
169,06;0,25;1;424,98;3,86
170,40;0,64;1;425,30;5,54
170,03;0,17;1;438,78;5,63
169,78;0,92;3;463,31;5,38
